,91.92,2000,91.92,45.1,91.92,1.53,91.05,11.8,91.05,15.8,91.19,14.006,91.19,28.0,91.34,9164,91.34,134,91.49,91.0,91.64,1110.0,91.78,73.7,
,92.94,2000,92.94,45.1,92.94,1.53,92.08,11.8,92.08,15.8,92.22,14.006,92.22,29.0,92.37,10477,92.37,134,92.50,91.0,92.67,1090.0,92.81,73.7,
,93.98,1960,93.98,44.4,93.98,1.53,93.08,11.8,93.08,15.8,93.23,14.006,93.24,30.0,93.38,11706,93.38,86,93.51,91.0,93.67,1080.0,93.82,73.7,
,95.03,2000,95.03,44.4,95.03,1.53,94.13,11.8,94.13,16.5,94.26,13.912,94.26,30.0,94.42,12972,94.42,86,94.57,90.0,94.74,1070.0,94.87,71.8,
,96.04,1960,96.04,52.6,96.04,1.53,95.18,11.8,95.18,15.8,95.31,14.006,95.31,30.0,95.45,14259,95.45,86,95.61,90.0,95.77,1070.0,95.88,85.4,
,97.10,1960,97.10,55.6,97.10,1.53,96.21,13.7,96.21,14.3,96.36,14.006,96.36,30.0,96.50,15659,96.50,84,96.64,90.0,96.82,1100.0,96.95,97.0,
,98.14,1960,98.14,55.6,98.14,1.79,97.24,14.1,97.24,13.5,97.40,14.006,97.40,30.0,97.54,17271,97.54,84,97.68,90.0,97.84,1120.0,97.99,97.0,
,99.23,1960,99.23,60.9,99.23,1.79,98.29,14.1,98.29,13.5,98.43,14.006,98.43,30.0,98.59,18939,98.59,106,98.74,90.0,98.91,1130.0,99.06,104.8,
,100.23,2000,100.23,58.6,100.23,1.79,99.39,15.3,99.39,12.8,99.51,14.006,99.51,30.0,99.67,20739,99.67,106,99.81,91.0,99.95,1150.0,100.09,104.8,
,101.26,2000,101.26,59.4,101.26,1.79,100.40,14.5,100.40,13.5,100.54,14.006,100.54,29.0,100.70,22514,100.70,116,100.82,91.0,100.98,1150.0,101.12,104.8,
,102.29,2000,102.29,57.9,102.29,1.79,101.40,14.9,101.40,13.5,101.56,14.006,101.56,29.0,101.72,24253,101.72,116,101.84,91.0,102.00,1150.0,102.15,100.9,
,103.38,2000,103.38,58.6,103.38,1.79,102.44,14.5,102.44,13.5,102.59,14.006,102.59,29.0,102.75,26019,102.75,116,102.92,91.0,103.07,1150.0,103.22,102.8,
